Offer_Spend,Playcoins_Used,Online_Bookings
31114,347,1357
22839,407,814
26041,259,944
21023,305,765
30620,422,1262
20978,366,761
27253,411,994
30276,175,1233
31220,449,1405
18031,249,694
16030,194,657
30244,449,1208
16985,326,672
28981,389,1103
27212,165,1012
24869,420,884
19837,255,736
27243,401,994
16176,176,660
30845,226,1304
27459,161,1028
31219,364,1404
19806,309,733
27920,182,1048
16073,173,659
30723,450,1267
30446,278,1245
16187,392,658
15041,168,642
30795,442,1286
25123,199,909
28230,440,1046
22567,348,809
28148,171,1064
14611,168,637
15135,218,643
30447,188,1251
15085,358,642
29853,286,1182
15103,157,644
28381,443,1054
19021,158,723
26704,430,963
14590,175,637
15404,162,648
15703,162,653
31009,393,1330
31214,447,1397
28080,303,1048
16267,217,661
30787,437,1285
15261,157,646
16589,293,666
16792,423,667
16765,221,670
14732,247,638
28804,249,1099
31219,448,1403
14594,204,637
28852,237,1104
31220,449,1405
24129,198,870
29249,336,1127
23398,389,833
14643,207,637
30363,348,1232
14611,183,637
19870,240,737
31196,407,1386
31202,347,1390
14685,160,638
29787,366,1172
29898,340,1184
30844,367,1299
31086,409,1348
27003,159,1005
21578,285,781
28226,423,1049
14624,435,637
25369,184,920
24237,230,872
25290,425,900
19681,448,722
14608,165,637
30605,397,1261
15736,168,653
30893,199,1313
31165,436,1371
31134,424,1361
15010,423,641
14802,363,639
27307,447,988
29474,342,1146
23357,183,843
29059,224,1119
30463,285,1247
31018,366,1333
19018,356,713
26389,361,954
30197,261,1218
30445,430,1238
27683,403,1019
24023,333,858
23422,334,837
21621,364,779
31035,387,1336
15544,167,650
20689,363,754
14621,252,637
30529,168,1263
29599,328,1157
15429,176,648
18066,161,700
16070,275,657
27524,214,1022
19112,331,716
17709,164,691
31220,391,1405
29989,372,1191
30760,188,1292
17616,165,689
21318,374,770
27642,340,1021
21955,352,790
16359,277,662
30296,172,1235
29205,444,1113
30019,429,1189
29318,375,1131
27710,420,1018
25973,259,941
31198,437,1386
31214,438,1397
25711,310,927
24491,233,881
16402,278,663
30146,186,1218
31169,359,1375
21561,338,779
30172,340,1211
16955,430,670
15625,356,650
31205,411,1391
31220,445,1405
31220,450,1405
30770,450,1275
31031,417,1334
